,AREA_TITLE,OCC_TITLE,OCC_CODE,TOT_EMP,JOBS_1000,LOC_QUOTIENT,H_PCT10,H_PCT25,H_MEDIAN,H_MEAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_MEAN,A_PCT75,A_PCT90
64,Alabama,Computer and Information Research Scientists,15-1221,380,0.201,0.92,37.24,49.18,58.93,60.84,69.41,82.08,"77,470","102,300","122,580","126,550","144,370","170,730"
1318,Arizona,Computer and Information Research Scientists,15-1221,200,0.069,0.32,28.52,44.98,55.61,56.09,64.79,78.55,"59,320","93,550","115,660","116,670","134,760","163,380"
2044,Arkansas,Computer and Information Research Scientists,15-1221,60,0.049,0.23,36.89,51.17,61.75,60.15,70.93,78.99,"76,720","106,440","128,450","125,120","147,520","164,300"
2713,California,Computer and Information Research Scientists,15-1221,"7,170",0.436,2.01,38.15,54.50,69.55,72.52,88.18,#,"79,360","113,370","144,670","150,830","183,420",#
3509,Colorado,Computer and Information Research Scientists,15-1221,380,0.147,0.68,39.21,45.83,54.58,56.84,67.01,79.23,"81,550","95,340","113,520","118,220","139,370","164,790"
4250,Connecticut,Computer and Information Research Scientists,15-1221,60,0.036,0.17,34.40,43.61,52.65,52.64,64.72,73.21,"71,550","90,710","109,510","109,490","134,610","152,280"
5449,District of Columbia,Computer and Information Research Scientists,15-1221,400,0.587,2.70,39.33,48.06,62.77,61.46,74.64,82.12,"81,810","99,970","130,560","127,830","155,240","170,810"
5964,Florida,Computer and Information Research Scientists,15-1221,"1,160",0.137,0.63,35.13,43.31,51.66,57.68,67.38,89.15,"73,070","90,070","107,450","119,970","140,150","185,440"
6752,Georgia,Computer and Information Research Scientists,15-1221,720,0.166,0.77,27.82,31.32,43.07,47.52,56.58,74.79,"57,870","65,140","89,590","98,830","117,690","155,560"
7498,Hawaii,Computer and Information Research Scientists,15-1221,90,0.161,0.74,35.06,46.72,57.22,54.83,58.80,73.65,"72,920","97,170","119,020","114,040","122,300","153,180"
8065,Idaho,Computer and Information Research Scientists,15-1221,80,0.116,0.53,37.06,47.88,58.69,57.83,67.04,77.75,"77,090","99,580","122,070","120,280","139,450","161,710"
8696,Illinois,Computer and Information Research Scientists,15-1221,370,0.065,0.30,32.91,44.76,55.68,55.39,65.46,76.81,"68,440","93,100","115,810","115,210","136,160","159,770"
9472,Indiana,Computer and Information Research Scientists,15-1221,150,0.052,0.24,31.01,38.86,42.60,45.59,51.93,58.05,"64,500","80,830","88,620","94,830","108,020","120,750"
10219,Iowa,Computer and Information Research Scientists,15-1221,70,0.049,0.23,*,*,*,*,*,*,*,*,*,*,*,*
10928,Kansas,Computer and Information Research Scientists,15-1221,130,0.096,0.44,*,*,*,*,*,*,*,*,*,*,*,*
11613,Kentucky,Computer and Information Research Scientists,15-1221,230,0.129,0.59,27.05,34.17,57.50,54.12,73.35,84.54,"56,260","71,080","119,600","112,570","152,560","175,840"
12324,Louisiana,Computer and Information Research Scientists,15-1221,130,0.073,0.34,23.86,30.79,37.15,38.32,47.03,55.34,"49,620","64,040","77,280","79,710","97,810","115,110"
13681,Maryland,Computer and Information Research Scientists,15-1221,"2,630",1.043,4.80,36.60,49.52,62.57,62.81,75.29,82.12,"76,130","102,990","130,150","130,640","156,610","170,810"
14419,Massachusetts,Computer and Information Research Scientists,15-1221,500,0.149,0.69,35.02,44.87,58.32,57.77,68.25,82.11,"72,840","93,330","121,310","120,170","141,960","170,790"
15155,Michigan,Computer and Information Research Scientists,15-1221,180,0.045,0.21,28.96,33.90,40.51,43.44,53.52,62.61,"60,230","70,500","84,260","90,350","111,310","130,230"
15907,Minnesota,Computer and Information Research Scientists,15-1221,220,0.083,0.38,43.80,52.62,63.61,64.10,76.22,87.71,"91,100","109,460","132,320","133,340","158,530","182,440"
