,AREA_TITLE,OCC_TITLE,OCC_CODE,TOT_EMP,JOBS_1000,LOC_QUOTIENT,H_PCT10,H_PCT25,H_MEDIAN,H_MEAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_MEAN,A_PCT75,A_PCT90
77,Alabama,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,210,0.113,0.26,27.17,35.80,43.55,43.10,50.79,58.59,"56,510","74,460","90,590","89,650","105,650","121,870"
804,Alaska,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,170,0.561,1.31,25.83,29.70,35.63,36.69,43.74,49.57,"53,720","61,780","74,110","76,310","90,980","103,100"
1331,Arizona,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,"1,400",0.494,1.15,29.47,42.03,53.80,52.21,62.61,73.82,"61,290","87,430","111,900","108,590","130,240","153,540"
2057,Arkansas,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,260,0.217,0.50,38.61,45.31,52.41,54.58,64.56,77.40,"80,310","94,250","109,020","113,530","134,290","160,980"
2727,California,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,"9,510",0.579,1.35,33.34,42.28,61.21,62.05,78.19,95.14,"69,340","87,940","127,310","129,060","162,630","197,890"
3523,Colorado,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,"1,260",0.489,1.14,25.85,33.37,44.38,47.05,58.17,73.05,"53,780","69,400","92,320","97,860","121,000","151,940"
4263,Connecticut,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,860,0.556,1.30,22.09,33.63,46.31,45.91,57.41,68.17,"45,950","69,940","96,320","95,480","119,420","141,800"
5463,District of Columbia,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,590,0.858,2.00,32.30,38.39,47.71,51.06,63.36,76.71,"67,190","79,860","99,240","106,210","131,780","159,550"
5978,Florida,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,"2,430",0.288,0.67,24.81,28.71,41.12,44.68,56.95,69.42,"51,600","59,720","85,540","92,930","118,450","144,390"
6765,Georgia,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,"2,310",0.536,1.25,18.80,26.93,41.15,41.86,54.41,67.30,"39,100","56,010","85,600","87,060","113,170","139,990"
7510,Hawaii,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,50,0.087,0.20,16.84,18.62,31.93,37.18,56.24,72.19,"35,030","38,730","66,410","77,340","116,970","150,150"
8078,Idaho,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,80,0.105,0.24,27.00,33.91,44.83,45.99,54.21,67.92,"56,150","70,530","93,250","95,660","112,750","141,270"
8710,Illinois,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,"3,290",0.585,1.36,26.97,35.49,46.39,48.33,59.97,74.05,"56,100","73,810","96,500","100,520","124,740","154,010"
9486,Indiana,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,"1,070",0.365,0.85,20.61,27.13,36.98,38.85,49.52,60.46,"42,880","56,420","76,920","80,810","103,010","125,760"
10232,Iowa,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,720,0.488,1.14,31.29,36.88,45.30,45.93,54.07,63.68,"65,090","76,700","94,230","95,540","112,470","132,440"
10941,Kansas,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,320,0.237,0.55,18.13,32.28,40.76,41.46,50.96,65.71,"37,700","67,140","84,780","86,240","106,000","136,670"
11626,Kentucky,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,600,0.338,0.79,18.80,25.05,32.22,36.80,47.32,63.26,"39,090","52,100","67,010","76,550","98,420","131,580"
12336,Louisiana,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,140,0.075,0.18,18.93,25.44,32.54,35.96,45.45,59.84,"39,370","52,910","67,680","74,800","94,530","124,460"
